站点名称,河流,监测时间,高锰酸盐指数,氨氮,总磷,浊度,溶解氧,pH,生物毒性,水质类别,考核水质类别,不达标因子,crawling_time
黄龙溪,府河,2020-06-10 12,4.40,0.180,0.133,77.8,6.73,7.55,--,III,Ⅴ,-,2020-06-10 15:05:02
黄龙溪,府河,2020-06-10 16,NA,0.190,0.118,0.0,NA,NA,--,III,Ⅴ,-,2020-06-10 19:05:03
黄龙溪,府河,2020-06-10 20,NA,0.160,0.113,0.0,NA,NA,--,III,Ⅴ,-,2020-06-10 23:05:03
黄龙溪,府河,2020-06-11 00,NA,0.170,0.121,0.0,NA,NA,--,III,Ⅴ,-,2020-06-11 03:05:02
黄龙溪,府河,2020-06-11 04,NA,0.150,0.111,0.0,NA,NA,--,III,Ⅴ,-,2020-06-11 07:05:03
黄龙溪,府河,2020-06-11 08,NA,0.150,0.125,0.0,NA,NA,--,III,Ⅴ,-,2020-06-11 11:05:02
黄龙溪,府河,2020-06-11 12,NA,0.170,0.125,0.0,NA,NA,--,III,Ⅴ,-,2020-06-11 15:05:02
黄龙溪,府河,2020-06-11 16,NA,0.180,0.120,0.0,NA,NA,--,III,Ⅴ,-,2020-06-11 19:05:02
黄龙溪,府河,2020-06-11 20,NA,0.220,0.124,0.0,NA,NA,--,III,Ⅴ,-,2020-06-11 23:05:02
黄龙溪,府河,2020-06-12 00,NA,0.210,0.121,0.0,NA,NA,--,III,Ⅴ,-,2020-06-12 03:05:02
黄龙溪,府河,2020-06-12 04,NA,0.210,0.120,0.0,NA,NA,--,III,Ⅴ,-,2020-06-12 07:05:02
黄龙溪,府河,2020-06-12 08,NA,0.190,0.126,0.0,NA,NA,--,III,Ⅴ,-,2020-06-12 11:05:02
黄龙溪,府河,2020-06-12 12,1.20,0.230,0.145,115.4,6.77,7.56,--,III,Ⅴ,-,2020-06-12 15:05:02
黄龙溪,府河,2020-06-12 16,3.90,0.180,0.135,81.5,6.33,7.56,--,III,Ⅴ,-,2020-06-12 19:05:02
黄龙溪,府河,2020-06-12 20,4.00,0.250,0.128,80.3,6.50,7.63,--,III,Ⅴ,-,2020-06-12 23:05:01
黄龙溪,府河,2020-06-13 00,4.00,0.160,0.123,79.7,6.80,7.66,--,III,Ⅴ,-,2020-06-13 03:05:02
黄龙溪,府河,2020-06-13 04,4.10,0.180,0.120,70.2,6.61,7.66,--,III,Ⅴ,-,2020-06-13 07:05:02
黄龙溪,府河,2020-06-13 08,3.90,0.190,0.123,74.5,6.87,7.64,--,III,Ⅴ,-,2020-06-13 11:05:03
黄龙溪,府河,2020-06-13 12,3.90,0.250,0.127,75.4,6.48,7.60,--,III,Ⅴ,-,2020-06-13 15:05:03
黄龙溪,府河,2020-06-13 16,4.10,0.240,0.129,77.5,6.54,7.57,--,III,Ⅴ,-,2020-06-13 19:05:02
黄龙溪,府河,2020-06-13 20,3.80,0.280,0.124,70.8,6.29,NA,--,III,Ⅴ,-,2020-06-13 23:05:01
黄龙溪,府河,2020-06-14 00,4.00,0.200,0.121,81.8,6.77,7.59,--,III,Ⅴ,-,2020-06-14 03:05:02
黄龙溪,府河,2020-06-14 04,3.80,0.170,0.119,71.4,6.79,7.62,--,III,Ⅴ,-,2020-06-14 07:05:02
黄龙溪,府河,2020-06-14 08,4.00,0.210,0.124,76.3,6.83,7.59,--,III,Ⅴ,-,2020-06-14 11:05:01
黄龙溪,府河,2020-06-14 12,3.90,0.230,0.132,108.0,6.71,7.58,--,III,Ⅴ,-,2020-06-14 15:05:02
黄龙溪,府河,2020-06-14 16,3.70,0.230,0.116,65.9,6.84,7.56,--,III,Ⅴ,-,2020-06-14 19:05:03
黄龙溪,府河,2020-06-14 20,NA,NA,NA,67.1,6.63,7.55,--,II,Ⅴ,-,2020-06-14 23:05:02
黄龙溪,府河,2020-06-14 20,NA,NA,NA,67.1,6.63,7.55,--,II,Ⅴ,-,2020-06-15 03:05:02
黄龙溪,府河,2020-06-14 20,NA,NA,NA,67.1,6.63,7.55,--,II,Ⅴ,-,2020-06-15 07:05:02
黄龙溪,府河,2020-06-14 20,NA,NA,NA,67.1,6.63,7.55,--,II,Ⅴ,-,2020-06-15 11:05:02
黄龙溪,府河,2020-06-14 20,NA,NA,NA,67.1,6.63,7.55,--,II,Ⅴ,-,2020-06-15 15:05:02
黄龙溪,府河,2020-06-14 20,NA,NA,NA,67.1,6.63,7.55,--,II,Ⅴ,-,2020-06-15 19:05:03
