time,NH4_hlx,NH4_djy,WT_djy,NH4_ejs,WT_ejs,WT_hlx,Q_ZPP,H_wj,Q_wj
2020/2/14 16:00,0.09,0.053,6.54,0.24,13.15,13.9,2923200,486.903,223675.2
2020/2/14 20:00,0.123131849,0.052,5.91,0.24,12.97,13.8,2923200,486.907,223444.8
2020/2/15 0:00,0.084937789,0.058518436,4.849856377,0.275381953,11.68093872,12.65547466,2750400,486.91,223200
2020/2/15 4:00,0.1,0.052,5.37,0.38,12.05,12.9,2750400,486.913,222955.2
2020/2/15 8:00,0.12,0.062,4.83,0.3,11.51,12.5,2750400,486.917,222724.8
2020/2/15 12:00,0.14,0.06,4.96,0.25,11.19,12.3,2750400,486.92,222480
2020/2/15 16:00,0.11,0.069,4.81,0.21,11.03,12,2750400,486.923,222235.2
2020/2/15 20:00,0.13,0.056,4.4,0.22,10.73,11.7,2750400,486.927,222004.8
2020/2/16 0:00,0.14,0.061,4.15,0.28,10.43,11.3,2908800,486.93,221760
2020/2/16 4:00,0.09,0.061,3.7,0.38,10,10.9,2908800,486.932,221760
2020/2/16 8:00,0.14,0.06,3.78,0.26,9.63,10.4,2908800,486.933,221760
2020/2/16 12:00,0.12,0.059,8.64,0.21,10.11,10.6,2908800,486.935,221760
2020/2/16 16:00,0.15,0.056,9.09,0.16,11.18,11.4,2908800,486.937,221760
2020/2/16 20:00,0.16,0.055,5.54,0.17,11.38,11.3,2908800,486.938,221760
2020/2/17 0:00,0.13,0.05,5.15,0.21,10.85,11,2808000,486.94,221760
2020/2/17 4:00,0.15,0.05,5,0.31,10.73,10.7,2808000,486.938,221284.8
2020/2/17 8:00,0.13,0.057,5.06,0.2,10.51,10.9,2808000,486.937,220795.2
2020/2/17 12:00,0.14,0.055,6.98,0.15,10.76,11.1,2808000,486.935,220320
2020/2/17 16:00,0.16,0.049,6.61,0.13,11.43,11.6,2808000,486.933,219844.8
2020/2/17 20:00,0.16,0.06,5.36,0.15,11.44,11.7,2808000,486.932,219355.2
